File	Individual
20251114_GM0038_bgal_sensitivity2-02-Scene-001-P3-B02.czi	B02
20251114_GM0038_bgal_sensitivity2-02-Scene-002-P1-B03.czi	B03
20251114_GM0038_bgal_sensitivity2-02-Scene-003-P4-B03.czi	B03
20251114_GM0038_bgal_sensitivity2-02-Scene-004-P3-B03.czi	B03
20251114_GM0038_bgal_sensitivity2-02-Scene-005-P2-B03.czi	B03
20251114_GM0038_bgal_sensitivity2-02-Scene-006-P5-B03.czi	B03
20251114_GM0038_bgal_sensitivity2-02-Scene-007-P1-B04.czi	B04
20251114_GM0038_bgal_sensitivity2-02-Scene-008-P3-B04.czi	B04
20251114_GM0038_bgal_sensitivity2-02-Scene-009-P4-B04.czi	B04
20251114_GM0038_bgal_sensitivity2-02-Scene-010-P5-B04.czi	B04
20251114_GM0038_bgal_sensitivity2-02-Scene-011-P6-B04.czi	B04
20251114_GM0038_bgal_sensitivity2-02-Scene-012-P1-B05.czi	B05
20251114_GM0038_bgal_sensitivity2-02-Scene-013-P2-B05.czi	B05
20251114_GM0038_bgal_sensitivity2-02-Scene-014-P3-B05.czi	B05
20251114_GM0038_bgal_sensitivity2-02-Scene-015-P4-B05.czi	B05
20251114_GM0038_bgal_sensitivity2-02-Scene-016-P5-B06.czi	B06
20251114_GM0038_bgal_sensitivity2-02-Scene-017-P3-B06.czi	B06
20251114_GM0038_bgal_sensitivity2-02-Scene-018-P4-B06.czi	B06
20251114_GM0038_bgal_sensitivity2-02-Scene-019-P6-B06.czi	B06
20251114_GM0038_bgal_sensitivity2-02-Scene-020-P3-B07.czi	B07
20251114_GM0038_bgal_sensitivity2-02-Scene-021-P4-B07.czi	B07
20251114_GM0038_bgal_sensitivity2-02-Scene-022-P6-B07.czi	B07
20251114_GM0038_bgal_sensitivity2-02-Scene-023-P3-B08.czi	B08
20251114_GM0038_bgal_sensitivity2-02-Scene-024-P4-B08.czi	B08
20251114_GM0038_bgal_sensitivity2-02-Scene-025-P5-B08.czi	B08
20251114_GM0038_bgal_sensitivity2-02-Scene-026-P6-B08.czi	B08
20251114_GM0038_bgal_sensitivity2-02-Scene-027-P1-B09.czi	B09
20251114_GM0038_bgal_sensitivity2-02-Scene-028-P2-B09.czi	B09
20251114_GM0038_bgal_sensitivity2-02-Scene-029-P3-B09.czi	B09
20251114_GM0038_bgal_sensitivity2-02-Scene-030-P4-B09.czi	B09
20251114_GM0038_bgal_sensitivity2-02-Scene-031-P5-B09.czi	B09
20251114_GM0038_bgal_sensitivity2-02-Scene-032-P1-B10.czi	B10
20251114_GM0038_bgal_sensitivity2-02-Scene-033-P2-B10.czi	B10
20251114_GM0038_bgal_sensitivity2-02-Scene-034-P3-B10.czi	B10
20251114_GM0038_bgal_sensitivity2-02-Scene-035-P4-B10.czi	B10
20251114_GM0038_bgal_sensitivity2-02-Scene-036-P5-B10.czi	B10
20251114_GM0038_bgal_sensitivity2-02-Scene-037-P6-B10.czi	B10
20251114_GM0038_bgal_sensitivity2-02-Scene-038-P1-B11.czi	B11
20251114_GM0038_bgal_sensitivity2-02-Scene-039-P2-B11.czi	B11
20251114_GM0038_bgal_sensitivity2-02-Scene-040-P3-B11.czi	B11
20251114_GM0038_bgal_sensitivity2-02-Scene-041-P4-B11.czi	B11
20251114_GM0038_bgal_sensitivity2-02-Scene-042-P5-B11.czi	B11
20251114_GM0038_bgal_sensitivity2-02-Scene-043-P6-B11.czi	B11
20251114_GM0038_bgal_sensitivity2-02-Scene-044-P1-C11.czi	C11
20251114_GM0038_bgal_sensitivity2-02-Scene-045-P2-C11.czi	C11
20251114_GM0038_bgal_sensitivity2-02-Scene-046-P3-C11.czi	C11
20251114_GM0038_bgal_sensitivity2-02-Scene-047-P4-C11.czi	C11
20251114_GM0038_bgal_sensitivity2-02-Scene-048-P5-C11.czi	C11
20251114_GM0038_bgal_sensitivity2-02-Scene-049-P6-C11.czi	C11
20251114_GM0038_bgal_sensitivity2-02-Scene-050-P1-C10.czi	C10
20251114_GM0038_bgal_sensitivity2-02-Scene-051-P2-C10.czi	C10
20251114_GM0038_bgal_sensitivity2-02-Scene-052-P3-C10.czi	C10
20251114_GM0038_bgal_sensitivity2-02-Scene-053-P4-C10.czi	C10
20251114_GM0038_bgal_sensitivity2-02-Scene-054-P5-C10.czi	C10
20251114_GM0038_bgal_sensitivity2-02-Scene-055-P6-C10.czi	C10
20251114_GM0038_bgal_sensitivity2-02-Scene-056-P1-C09.czi	C09
20251114_GM0038_bgal_sensitivity2-02-Scene-058-P3-C09.czi	C09
20251114_GM0038_bgal_sensitivity2-02-Scene-059-P4-C09.czi	C09
20251114_GM0038_bgal_sensitivity2-02-Scene-060-P5-C09.czi	C09
20251114_GM0038_bgal_sensitivity2-02-Scene-061-P6-C09.czi	C09
20251114_GM0038_bgal_sensitivity2-02-Scene-062-P1-C08.czi	C08
20251114_GM0038_bgal_sensitivity2-02-Scene-063-P2-C08.czi	C08
20251114_GM0038_bgal_sensitivity2-02-Scene-064-P3-C08.czi	C08
20251114_GM0038_bgal_sensitivity2-02-Scene-065-P4-C08.czi	C08
20251114_GM0038_bgal_sensitivity2-02-Scene-067-P6-C08.czi	C08
20251114_GM0038_bgal_sensitivity2-02-Scene-068-P1-C07.czi	C07
20251114_GM0038_bgal_sensitivity2-02-Scene-069-P3-C07.czi	C07
20251114_GM0038_bgal_sensitivity2-02-Scene-070-P4-C07.czi	C07
